store_name,order_date,order_total,delivery_platform,status
Rocket #5508,2025-04-30 11:00:03.943000+00:00,3.39,DoorDash,incoming
Rocket #4204,2025-04-30 10:43:58.539000+00:00,9.29,DoorDash,pickup_completed
Jacksons Food Stores #32,2025-04-30 10:43:01.557000+00:00,8.56,DoorDash,completed
Davison Fuel Inc Shell (W Davison),2025-04-30 10:41:44.881000+00:00,7.82,UberEats,ready_for_pickup
Rocket #6534,2025-04-30 10:39:35.793000+00:00,11.97,DoorDash,ready_for_pickup
Rocket #5624,2025-04-30 10:33:29.106000+00:00,15.97,DoorDash,incoming
Yazzy's Market - 1372 Union Street,2025-04-30 10:30:51.357000+00:00,6.78,DoorDash,completed
Clipper Petroleum #47,2025-04-30 10:29:22.360000+00:00,9.85,DoorDash,completed
Circle K (2457 Whitesville Rd),2025-04-30 10:26:26.350000+00:00,10.25,DoorDash,cancelled
Atlantis Fresh Market #91,2025-04-30 10:23:15.187000+00:00,9.3,UberEats,pickup_completed
Clipper Petroleum #47,2025-04-30 10:21:18.360000+00:00,4.58,DoorDash,completed
Double Kwik - 2076,2025-04-30 10:19:52.896000+00:00,6.58,DoorDash,completed
Rocket #6504,2025-04-30 10:13:29.516000+00:00,13.15,DoorDash,completed
Rocket #6317,2025-04-30 10:11:06.230000+00:00,19.53,UberEats,ready_for_pickup
Energy Mart 10 - Long Shoals Rd,2025-04-30 10:05:51.019000+00:00,16.06,DoorDash,denied
Jacksons Food Stores #805,2025-04-30 10:01:11.124000+00:00,18.75,UberEats,pickup_completed
Clipper Petroleum #47,2025-04-30 09:57:55.345000+00:00,9.76,DoorDash,completed
Rocket #7965,2025-04-30 09:52:40.913000+00:00,8.47,UberEats,waiting
U-Stop Convenience Shop Highlands,2025-04-30 09:46:39.659000+00:00,12.36,DoorDash,completed
Jacksons Food Stores #33,2025-04-30 09:45:25.369000+00:00,25.85,DoorDash,completed
Circle K (3400 Busbee Dr NW),2025-04-30 09:43:41.468000+00:00,2.69,UberEats,pickup_completed
Rocket #477,2025-04-30 09:28:42.981000+00:00,9.16,DoorDash,ready_for_pickup
Jacksons Food Stores #654,2025-04-30 09:27:02.590000+00:00,29.11,DoorDash,completed
Rocket #5093,2025-04-30 09:26:43.650000+00:00,16.55,DoorDash,completed
Circle K (8060 GA-85),2025-04-30 09:25:18.191000+00:00,8.48,DoorDash,cancelled
Clipper Petroleum #47,2025-04-30 09:24:02.902000+00:00,12.77,UberEats,pickup_completed
Rocket #5250,2025-04-30 09:23:59.542000+00:00,14.77,DoorDash,completed
Jacksons Food Stores #7,2025-04-30 09:22:28.212000+00:00,8.88,UberEats,pickup_completed
Circle K (1896 Piedmont Rd NE),2025-04-30 09:21:33.298000+00:00,8.37,DoorDash,cancelled
