store_name,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,Monthly_Avg,YTD_2025
164 Quick Stop,381.61,762.11,699.09,915.43,725.43,873.53,836.74,911.57,852.18,805.69,785.79,536.4,757.13,2980.06
260 BP,58.27,154.6,281.7,107.61,311.3,326.99,229.81,77.28,292.98,29.05,43.21,0.0,159.4,365.24
3N Convenience Inc - Shell,397.23,1068.53,570.1,781.44,525.89,725.82,784.34,468.96,457.49,343.34,670.42,371.67,597.1,1842.92
ARC Mequon,28.61,0.0,19.8,122.56,8.77,2.49,41.86,48.2,0.0,33.39,44.09,0.0,29.15,77.48
Aberdeen Shell,0.0,0.0,0.0,0.0,0.0,19.34,41.16,78.43,12.25,16.44,50.95,7.47,18.84,87.11
Abhi and Father,172.69,704.53,140.66,188.24,132.25,275.46,131.99,119.75,176.98,162.74,137.63,26.75,197.47,504.1
Alta Convenience #1243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.26,35.71,0.0,3.66,43.97
Alta Convenience #1249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.02,19.98,19.48,5.46,65.48
Alta Convenience #1281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.36,166.56,45.86,30.48,365.78
Alta Convenience #1340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.69,31.79,7.71,92.48
Alta Convenience #3104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.35,33.39,25.11,23.22,7.84,94.07
Alta Convenience #3106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.01,14.25,71.93,9.1,109.19
Alta Convenience #3107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.99,10.77,0.0,1.73,20.76
Alta Convenience #3109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.78,0.0,0.0,2.73,32.78
Alta Convenience #3113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.11,0.0,0.0,10.51,126.11
Alta Convenience #3301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.74,28.41,0.0,4.1,49.15
Alta Convenience #3401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.76,0.0,9.18,2.08,24.94
Alta Convenience #3501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.11,36.18,17.75,7.17,86.04
Alta Convenience #3502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,0.0,0.0,0.25,2.99
Alta Convenience #4999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.26,25.42,0.0,6.56,78.68
Alta Convenience #5601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.07,4.39,0.0,0.0,1.37,16.46
Alta Convenience #5725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.68,0.0,3.89,46.68
Alta Convenience #6002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,10.56,9.87,4.0,48.03
Alta Convenience #6003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.32,67.24,67.43,27.75,332.99
Alta Convenience #6009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.38,145.27,47.66,28.69,344.31
Alta Convenience #6010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.02,2.79,3.98,3.82,45.79
Alta Convenience #6013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.09,162.56,19.55,20.68,248.2
Alta Convenience #6015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.98,0.0,13.56,2.79,33.54
Alta Convenience #6017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.07,63.33,19.55,0.0,7.75,92.95
Alta Convenience #6019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.87,91.72,0.0,0.0,10.72,128.59
Alta Convenience #6104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.05,5.48,46.37,10.66,127.9
Alta Convenience #6105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.54,22.55,53.56,7.72,92.65
Alta Convenience #6106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.25,11.36,0.0,2.47,29.61
Alta Convenience #6111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.98,156.13,141.89,104.05,34.17,410.05
Alta Convenience #6112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.31,19.24,15.74,14.86,178.29
Alta Convenience #6113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.32,32.09,4.78,57.41
Alta Convenience #6114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98,0.0,0.0,26.55,2.79,33.53
Alta Convenience #6115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.77,19.95,3.06,36.72
Alta Convenience #6119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,25.53,10.25,5.12,61.38
Alta Convenience #6120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.9,0.0,20.74,12.14,145.64
Alta Convenience #6123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.17,0.0,20.84,5.75,69.01
Alta Convenience #6129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.11,0.0,0.0,2.43,29.11
Alta Convenience #6339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.87,0.99,11.87
Ameristop Waynesville,69.81,32.76,0.0,25.96,47.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.67,0.0
Anderson Convenience Market #140,1184.98,2288.35,2830.04,2315.46,2224.65,2492.54,1954.96,1079.06,1357.03,823.16,681.1,523.12,1646.2,3384.41
Assawoman Ale Shoppe & Subway,45.28,43.8,54.78,52.99,25.23,11.52,11.63,13.92,27.63,0.0,64.4,15.46,30.55,107.49
Atlantis Fresh Market  #7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,429.83,302.76,61.46,737.57
Atlantis Fresh Market #106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.69,1.89,22.69
Atlantis Fresh Market #11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.71,213.3,43.75,525.01
Atlantis Fresh Market #142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.31,75.49,17.57,210.8
Atlantis Fresh Market #156,230.5,572.55,562.7,350.75,484.55,541.75,892.95,783.48,1150.61,785.76,959.64,496.03,650.94,3392.04
Atlantis Fresh Market #187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1279.42,756.46,169.66,2035.88
Atlantis Fresh Market #20,135.25,201.5,373.4,222.95,331.8,415.9,276.8,298.35,554.0,702.48,371.36,402.62,357.2,2030.46
